Rank,University,Town
1543,Simpson University,Redding
98,University of Vermont,Burlington
574,Bluffton University,Bluffton
717,Lawrence Technological University,Southfield
692,Eastern Virginia Medical School,Norfolk
128,Kent State University,Kent
1107,Cleveland Institute of Art,Cleveland
667,Bellevue University,Bellevue
191,Southern Illinois University Carbondale,Carbondale
461,Drew University,Madison
146,Southern New Hampshire University,Manchester
184,Ohio University,Athens
230,California State University-Sacramento,Sacramento
1580,The Graduate Center-CUNY,New York City
204,Marist College,Poughkeepsie
1250,Anna Maria College,Paxton
44,University of Pittsburgh,Pittsburgh
296,University of South Dakota,Vermillion
319,Lewis & Clark College,Portland
1355,Southwest Baptist University,Bolivar
1112,Manhattan School of Music,New York City
1005,A.T. Still University,Kirksville
989,Notre Dame of Maryland University,Baltimore
529,Valencia College,Orlando
563,Golden Gate University,San Francisco
609,Texas A&M University-Commerce,Commerce
1338,Fort Valley State University,Fort Valley
1103,Maine Maritime Academy,Castine
1121,Post University,Waterbury
1684,East-West University,Chicago
669,Carson-Newman University,Jefferson City
1123,Texas Wesleyan University,Fort Worth
88,University of Central Florida,Orlando
537,University of Puget Sound,Tacoma
1223,Converse College,Spartanburg
1254,Thomas More University,Crestview Hills
507,Coastal Carolina University,Conway
1703,Baptist Bible College,Springfield
750,Norfolk State University,Norfolk
150,The University of Texas MD Anderson Cancer Center,Houston
1154,Wells College,Aurora
1663,Trocaire College,Buffalo
383,DePauw University,Greencastle
878,McNeese State University,Lake Charles
918,Alverno College,Milwaukee
1280,Columbia Basin College,Pasco
1571,Bay State College,Boston
1732,Tri-State Bible College,South Point
727,Mississippi College,Clinton
1155,Vanguard University of Southern California,Costa Mesa
1408,College of Mount Saint Vincent,The Bronx
174,The University of Texas at Arlington,Arlington
846,University of Houston-Downtown,Houston
227,Bucknell University,Lewisburg
331,University of Colorado Colorado Springs,Colorado Springs
-1,Ohio University Southern,Ironton
656,Hood College,Frederick
1090,Goddard College,Plainfield
912,Walsh University,North Canton
576,University of Nebraska at Kearney,Kearney
1113,Mount St. Mary's University,Emmitsburg
143,Kansas State University,Manhattan
1275,Houghton University,Houghton
117,Portland State University,Portland
36,Northwestern University,Evanston
1380,University of Rio Grande,Rio Grande
1080,Walla Walla University,College Place
1730,University of Maine at Farmington,Farmington
1456,Clarks Summit University,Clarks Summit
788,Western New England University,Springfield
536,Hampton University,Hampton
794,California Baptist University,Riverside
1472,Tiffin University,Tiffin
1192,McMurry University,Abilene
578,Longwood University,Farmville
340,University of Nebraska Medical Center,Omaha
496,Salisbury University,Salisbury
1160,College of the Ozarks,Point Lookout
695,Carthage College,Kenosha
641,California State University-Bakersfield,Bakersfield
1526,Art Academy of Cincinnati,Cincinnati
303,Davidson College,Davidson
332,Lamar University,Beaumont
1671,Rocky Vista University,Parker
5,University of California-Berkeley,Berkeley
431,University of California College of the Law-San Francisco,San Francisco
1482,Barclay College,Haviland
515,Rhodes College,Memphis
1314,The University of Virginia's College at Wise,Wise
99,Florida International University,Miami
330,University of Baltimore,Baltimore
1158,Concordia University Chicago,River Forest
114,Rensselaer Polytechnic Institute,Troy
266,Texas Christian University,Fort Worth
12,University of Minnesota Twin Cities,Minneapolis
97,Temple University,Philadelphia
1726,Northpoint Bible College,Haverhill
223,Clark University,Worcester
53,University of Georgia,Athens
1391,Kansas City University,Kansas City
785,Xavier University of Louisiana,New Orleans
1397,Marymount Manhattan College,New York City
594,Franklin University,Columbus
503,Louisiana State University Health Sciences Center,New Orleans
1323,Rivier University,Nashua
1082,Montreat College,Montreat
589,Assumption University,Worcester
696,University of Central Missouri,Warrensburg
239,Western Kentucky University,Bowling Green
1566,Pennsylvania College of Art and Design,Lancaster
84,University of Missouri,Columbia
867,University of Massachusetts Global,Irvine
739,Eastern Mennonite University,Harrisonburg
915,The University of Texas Permian Basin,Odessa
1589,Alice Lloyd College,Pippa Passes
60,University of Massachusetts Amherst,Amherst
1519,University of the West,Rosemead
553,Metropolitan State University of Denver,Denver
1009,St John's College,Annapolis
1115,Samuel Merritt University,Oakland
1329,Thomas Edison State University,Trenton
1576,Pensacola State College,Pensacola
1095,State College of Florida-Manatee-Sarasota,Bradenton
118,Tulane University,New Orleans
1316,Limestone University,Gaffney
1628,Dharma Realm Buddhist University,Ukiah
538,Sacred Heart University,Fairfield
1517,Gordon State College,Barnesville
1122,LeTourneau University,Longview
1268,John F. Kennedy University,Pleasant Hill
863,Iona University,New Rochelle
836,Northeastern State University,Tahlequah
352,Gettysburg College,Gettysburg
381,University of Louisiana at Lafayette,Lafayette
921,New York Medical College,Valhalla
642,Jackson State University,Jackson
634,Goshen College,Goshen
1285,Brenau University,Gainesville
937,Lincoln University-Missouri,Jefferson City
346,Weber State University,Ogden
720,Lipscomb University,Nashville
8,Columbia University in the City of New York,New York City
73,University at Buffalo-State University of New York,Buffalo
1471,Thomas College,Waterville
834,Hollins University,Roanoke
1439,Brazosport College,Lake Jackson
1257,Moore College of Art and Design,Philadelphia
154,University of Nevada-Las Vegas,Las Vegas
1136,Anderson University-Indiana,Anderson
276,California State University-San Bernardino,San Bernardino
1644,Emmaus Bible College,Dubuque
11,University of California-Los Angeles,Los Angeles
977,Southern California Institute of Architecture,Los Angeles
308,Elon University,Elon
1199,Massachusetts Maritime Academy,Buzzards Bay
320,Minnesota State University-Mankato,Mankato
237,Grand Canyon University,Phoenix
1007,Black Hills State University,Spearfish
934,Warren Wilson College,Swannanoa
1468,Texas College,Tyler
1487,Midway University,Midway
1217,Freed-Hardeman University,Henderson
164,Middle Tennessee State University,Murfreesboro
1707,University of Alaska Anchorage,Anchorage
550,St. Catherine University,Saint Paul
158,University of Wyoming,Laramie
592,Roosevelt University,Chicago
1182,Franklin College,Franklin
686,The University of the Arts,Philadelphia
334,Biola University,La Mirada
1102,Methodist University,Fayetteville
85,University of Kansas,Lawrence
447,Franklin and Marshall College,Lancaster
793,Guilford College,Greensboro
145,Liberty University,Lynchburg
535,Broward College,Fort Lauderdale
1377,Hebrew College,Newton Centre
418,Bridgewater State University,Bridgewater
205,Grand Valley State University,Allendale
1490,Centralia College,Centralia
643,University of Wisconsin-Parkside,Kenosha
1033,Chamberlain University,Addison
1431,The University of Texas Health Science Center at Tyler,Tyler
1356,Sul Ross State University,Alpine
180,Middlebury College,Middlebury
480,Valdosta State University,Valdosta
796,Mayo Clinic College of Medicine and Science,Rochester
1392,Athens State University,Athens
568,St Petersburg College,St. Petersburg
1212,Crown College,St. Bonifacius
1133,Mary Baldwin University,Staunton
755,Ursinus College,Collegeville
467,Rollins College,Winter Park
103,University of New Hampshire,Durham
748,Keene State College,Keene
127,San José State University,San Jose
1354,Hodges University,Fort Myers
1489,Menlo College,Atherton
1451,University of Saint Joseph,West Hartford
52,Georgia Institute of Technology,Atlanta
1189,University of Advancing Technology,Tempe
10,University of Pennsylvania,Philadelphia
1579,Rust College,Holly Springs
1226,Northeast Ohio Medical University,Rootstown
845,Minneapolis College of Art and Design,Minneapolis
819,Chicago State University,Chicago
1659,San Joaquin College of Law,Clovis
1512,Jarvis Christian University,Hawkins
1164,Mansfield University of Pennsylvania,Mansfield
1609,Nazarene Bible College,Colorado Springs
1449,Dickinson State University,Dickinson
1669,Central Baptist College,Conway
406,University of New Orleans,New Orleans
209,Kennesaw State University,Kennesaw
1137,Minot State University,Minot
972,Shawnee State University,Portsmouth
1310,The College of Idaho,Caldwell
871,Concordia University Texas,Austin
247,Medical University of South Carolina,Charleston
861,Flagler College,St. Augustine
1588,Salem University,Salem
1175,Indiana Institute of Technology,Fort Wayne
179,California State University-Long Beach,Long Beach
1017,Nebraska Wesleyan University,Lincoln
648,High Point University,High Point
1326,Multnomah University,Portland
1153,University of South Carolina-Beaufort,Bluffton
1078,Fresno Pacific University,Fresno
681,Hawaii Pacific University,Honolulu
967,Adrian College,Adrian
482,Johnson and Wales University,Providence
1196,Cornish College of the Arts,Seattle
602,La Salle University,Philadelphia
869,Herzing University,Madison
1049,Missouri Western State University,St. Joseph
808,Clayton State University,Morrow
1157,University of Houston-Victoria,Victoria
1384,Coker University,Hartsville
495,Academy of Art University,San Francisco
661,Arcadia University,Glenside
19,University of California-San Diego,San Diego
1077,Huntington University,Huntington
1135,Polk State College,Winter Haven
270,The Rockefeller University,New York City
1528,West Virginia School of Osteopathic Medicine,Lewisburg
1301,Elizabeth City State University,Elizabeth City
1622,The School of Architecture,Paradise Valley
1658,University of Hawaii-West Oahu,Kapolei
1145,American International College,Springfield
1246,Cleveland Institute of Music,Cleveland
393,SUNY Geneseo,Geneseo
353,California State University San Marcos,San Marcos
1297,Stevenson University,Stevenson
1282,Southern Wesleyan University,Central
1450,Ohio Christian University,Circleville
688,The College of St. Scholastica,Duluth
813,Brigham Young University-Hawaii,Laie
598,Regis University,Denver
1345,Hilbert College,Hamburg
1626,Oakland City University,Oakland City
873,Louisiana State University in Shreveport,Shreveport
726,SUNY Empire State College,Saratoga Springs
1505,The University of Olivet,Olivet
386,Loma Linda University,Loma Linda
300,University of St. Thomas-Saint Paul,Saint Paul
1067,Savannah State University,Savannah
1657,Atlanta Metropolitan State College,Atlanta
1059,Bard College at Simon's Rock,Great Barrington
1247,New England Institute of Technology,East Greenwich
1428,Florida National University,Hialeah
27,Penn State University,University Park
176,University of Mississippi,University
500,William Paterson University,Wayne
853,Aurora University,Aurora
76,University of California-Santa Cruz,Santa Cruz
1012,North Carolina Wesleyan University,Rocky Mount
382,Skidmore College,Saratoga Springs
115,West Virginia University,Morgantown
665,Southern Oregon University,Ashland
1498,LIM College,New York City
854,Albany Medical College,Albany
1038,Virginia Union University,Richmond
810,New College of Florida,Sarasota
1522,Penn State College of Medicine,Hershey
1172,Southwestern Adventist University,Keene
948,Meharry Medical College,Nashville
1101,Missouri Southern State University,Joplin
417,Sweet Briar College,Sweet Briar
806,Union University,Jackson
651,Dakota State University,Madison
936,MCPHS University,Boston
564,Roger Williams University,Bristol
337,Eastern Michigan University,Ypsilanti
357,Fairleigh Dickinson University,Teaneck
1319,Woodbury University,Burbank
253,Oberlin College,Oberlin
986,Keck Graduate Institute,Claremont
1577,Mercy College of Ohio,Toledo
1718,Methodist College,Peoria
1413,Cleary University,Howell
1308,McPherson College,McPherson
1051,Bay Path University,Longmeadow
62,University of South Florida,Tampa
548,Hult International Business School,Cambridge
1011,Heidelberg University,Tiffin
683,Columbus State University,Columbus
1333,Waldorf University,Forest City
534,Delaware State University,Dover
435,Miami Dade College,Miami
1454,The King's College,New York City
1159,Spring Arbor University,Spring Arbor
1599,Trinity College of Florida,Trinity
570,Virginia Military Institute,Lexington
898,Bridgewater College,Bridgewater
292,East Tennessee State University,Johnson City
1063,Ouachita Baptist University,Arkadelphia
1590,Washington Adventist University,Takoma Park
958,Oklahoma Christian University,Edmond
256,University of Nebraska at Omaha,Omaha
291,Kenyon College,Gambier
704,Benedictine University,Lisle
1502,University of Saint Francis,Fort Wayne
1407,Cranbrook Academy of Art,Bloomfield Hills
1075,Alfred State College,Alfred
486,Denison University,Granville
323,St. John's University,Queens
328,United States Naval Academy,Annapolis
1207,Trinity Christian College,Palos Heights
42,Indiana University Bloomington,Bloomington
771,Concordia University Wisconsin,Mequon
120,University of Alabama at Birmingham,Birmingham
287,Reed College,Portland
809,Southern University and A&M College,Baton Rouge
617,University of St. Augustine for Health Sciences,San Marcos
1110,University of Montevallo,Montevallo
243,Wellesley College,Wellesley
874,Wilmington University,New Castle
298,The University of Texas Health Science Center at Houston,Houston
1596,Emmanuel College-Georgia,Franklin Springs
269,University of North Florida,Jacksonville
1056,University of Sioux Falls,Sioux Falls
148,DePaul University,Chicago
1086,San Francisco Conservatory of Music,San Francisco
421,Drake University,Des Moines
444,University of Hawaii at Manoa,Honolulu
1047,Aquinas College,Grand Rapids
1061,Emory & Henry College,Emory
693,Northwest Missouri State University,Maryville
155,University of Rhode Island,Kingston
1640,Thomas University,Thomasville
511,Frostburg State University,Frostburg
95,Fordham University,The Bronx
990,Our Lady of the Lake University,San Antonio
1592,VanderCook College of Music,Chicago
1276,Quincy University,Quincy
140,Northern Illinois University,DeKalb
1394,Judson University,Elgin
1048,New England Law | Boston,Boston
1058,Belhaven University,Jackson
1483,Maryland University of Integrative Health,Laurel
707,Brooklyn Law School,Brooklyn
32,University of Illinois Urbana-Champaign,Champaign
1661,Trinity Bible College,Ellendale
1022,Adams State University,Alamosa
-1,Saint Francis Medical Center College of Nursing,Peoria
613,Muhlenberg College,Allentown
105,The University of Oklahoma,Norman
1712,Plaza College,New York City
1352,South College,Knoxville
730,University of Dallas,Irving
969,Husson University,Bangor
1163,Chadron State College,Chadron
124,University at Albany-State University of New York,Albany
1467,Southern University Law Center,Baton Rouge
893,Lewis-Clark State College,Lewiston
779,Salve Regina University,Newport
1166,Indiana University Northwest,Gary
1409,Sullivan University,Louisville
569,Cedarville University,Cedarville
1027,Paul Smith's College,Paul Smiths
391,St. Olaf College,Northfield
962,Shepherd University,Shepherdstown
978,Carroll College,Helena
1369,University of the Potomac,Washington
522,Fort Hays State University,Hays
886,Concordia University-St. Paul,Saint Paul
1100,St. Thomas University,Miami Gardens
1430,Northwestern Health Sciences University,Bloomington
1560,Montserrat College of Art,Beverly
1670,Michigan School of Psychology,Farmington Hills
543,SUNY College at Oneonta,Oneonta
1469,Bethel University-Tennessee,McKenzie
441,National University,La Jolla
374,Trinity University,San Antonio
58,Brigham Young University,Provo
1535,New York College of Podiatric Medicine,New York City
1608,Nevada State University,Henderson
232,North Dakota State University,Fargo
1050,Pfeiffer University,Misenheimer
1618,Kuyper College,Grand Rapids
632,Albion College,Albion
198,Western Washington University,Bellingham
1132,Northland College,Ashland
110,Virginia Commonwealth University,Richmond
1055,Oglethorpe University,Atlanta
1044,Roberts Wesleyan University,Rochester
1013,Metropolitan State University,Saint Paul
202,California State University-Chico,Chico
1321,United States Sports Academy,Daphne
1514,University of Mobile,Mobile
169,Western Michigan University,Kalamazoo
1562,Albany College of Pharmacy and Health Sciences,Albany
857,East Stroudsburg University,East Stroudsburg
622,Bloomsburg University of Pennsylvania,Bloomsburg
347,Colgate University,Hamilton
1569,Mount Carmel College of Nursing,Columbus
1678,Oak Point University,Chicago
732,Pennsylvania College of Technology,Williamsport
519,School of the Art Institute of Chicago,Chicago
998,Otterbein University,Westerville
123,University of Maryland-Baltimore County,Baltimore
1547,University of the Ozarks,Clarksville
583,Saint Michael's College,Colchester
434,Tennessee Tech University,Cookeville
48,Virginia Polytechnic Institute and State University,Blacksburg
147,Montana State University,Bozeman
1737,Medgar Evers College,Brooklyn
782,Southern Adventist University,Collegedale
1651,San Diego Christian College,Santee
75,Emory University,Atlanta
1231,Bryan College,Dayton
1568,Bethany College,Bethany
400,North Carolina Agricultural and Technical State University,Greensboro
620,SUNY Downstate Medical Center,Brooklyn
261,Humboldt State University,Arcata
181,University of Alaska Fairbanks,Fairbanks
1131,Delaware Valley University,Doylestown
756,Arkansas Tech University,Russellville
585,Millersville University of Pennsylvania,Millersville
1506,St Andrews University,Laurinburg
1237,Northwest University,Kirkland
775,Texas A&M International University,Laredo
1368,Arizona Christian University,Glendale
1709,Baptist University of the Americas,San Antonio
41,North Carolina State University,Raleigh
1233,William Jewell College,Liberty
361,Union College,Schenectady
587,North Carolina Central University,Durham
1364,LaGrange College,LaGrange
466,Fairfield University,Fairfield
369,Arkansas State University,Jonesboro
946,Mount St. Joseph University,Cincinnati
195,The University of Texas at San Antonio,San Antonio
1510,Eureka College,Eureka
710,Washburn University,Topeka
659,Harding University,Searcy
549,Murray State University,Murray
1041,Lenoir-Rhyne University,Hickory
-1,Paul Quinn College,Dallas
413,University of West Florida,Pensacola
1357,West Liberty University,West Liberty
1371,Barton College,Wilson
-1,Ohio University-Chillicothe,Chillicothe
1463,Holy Cross College,Notre Dame
816,Tougaloo College,Tougaloo
153,Northern Arizona University,Flagstaff
721,Berry College,Mount Berry
231,Miami University,Oxford
985,Scripps College,Claremont
703,SUNY Polytechnic Institute,Utica
523,Westminster College,Salt Lake City
1423,Marian University-Wisconsin,Fond du Lac
754,Moravian University,Bethlehem
1336,Central Methodist University,Fayette
1188,Illinois College,Jacksonville
815,Northern State University,Aberdeen
1421,Northwestern Oklahoma State University,Alva
1255,University of Pikeville,Pikeville
690,Wofford College,Spartanburg
491,Sewanee: The University of the South,Sewanee
1091,Greenville University,Greenville
1578,Benjamin Franklin Cummings Institute of Technology,Boston
1073,East Central University,Ada
1692,Jamestown Business College,Jamestown
224,University of Akron,Akron
607,California College of the Arts,San Francisco
1148,Columbia International University,Columbia
586,University of the Incarnate Word,San Antonio
1117,Louisiana State University Health Sciences Center-Shreveport,Shreveport
442,Loyola University New Orleans,New Orleans
1228,Bennett College,Greensboro
966,Georgetown College,Georgetown
1420,Columbus College of Art and Design,Columbus
1327,Wingate University,Wingate
1563,Sterling College-Vermont,Craftsbury Common
306,Babson College,Babson Park
1653,Calvary University,Kansas City
1447,Beacon College,Leesburg
618,Jacksonville State University,Jacksonville
940,Western Colorado University,Gunnison
1251,Dean College,Franklin
672,St. Mary's College of Maryland,St. Mary's City
433,The Juilliard School,New York City
1235,Keuka College,Keuka Park
168,Wake Forest University,Winston-Salem
615,Elmhurst University,Elmhurst
262,University of Missouri-St. Louis,St. Louis
213,University of San Francisco,San Francisco
216,East Carolina University,Greenville
439,University of Wisconsin-Oshkosh,Oshkosh
7,University of Michigan,Ann Arbor
668,Kalamazoo College,Kalamazoo
1460,New York School of Interior Design,New York City
1723,Denver College of Nursing,Denver
-1,Antioch University Seattle,Seattle
1485,York University,York
437,Upstate Medical University,Syracuse
737,Virginia State University,Petersburg
402,University of Northern Colorado,Greeley
1511,New York Academy of Art,New York City
517,Rhode Island College,Providence
1682,Maria College,Albany
652,Baldwin Wallace University,Berea
90,University of Miami,Coral Gables
1367,University of Arkansas - Fort Smith,Fort Smith
1538,Glenville State University,Glenville
315,Missouri University of Science and Technology,Rolla
795,Florida State College at Jacksonville,Jacksonville
880,Rogers State University,Claremore
713,Midwestern University,Downers Grove
1556,Mount Aloysius College,Cresson
719,St. Norbert College,De Pere
973,Edgewood College,Madison
1201,California Western School of Law,San Diego
847,Eastern Connecticut State University,Willimantic
1583,Blue Mountain Christian University,Blue Mountain
1540,Kentucky Wesleyan College,Owensboro
1170,Mississippi Valley State University,Itta Bena
1125,Seattle Central College,Seattle
1673,Boricua College,New York City
943,United States Air Force Academy,Colorado Springs
156,Oregon Health & Science University,Portland
734,Niagara University,Niagara University
408,West Chester University of Pennsylvania,West Chester
219,The University of Texas at El Paso,El Paso
1248,University of Arkansas at Monticello,Monticello
882,Mercyhurst University,Erie
55,Oregon State University,Corvallis
746,Taylor University,Upland
1339,Jessup University,Rocklin
220,The Catholic University of America,Washington
1555,Marshall B. Ketchum University,Fullerton
258,Colby College,Waterville
752,Marietta College,Marietta
1602,Livingstone College,Salisbury
-1,Geisinger Commonwealth School of Medicine,Scranton
255,UMass Chan Medical School,Worcester
1461,Martin Luther College,New Ulm
623,Mercy University,Dobbs Ferry
1072,Graceland University,Lamoni
1516,Parker University,Dallas
1464,Northwest Florida State College,Niceville
436,Columbia College Chicago,Chicago
1317,Castleton University,Castleton
1006,Delta State University,Cleveland
822,D'Youville College,Buffalo
301,Willamette University,Salem
263,Cleveland State University,Cleveland
170,Illinois Institute of Technology,Chicago
1662,Franciscan Missionaries of Our Lady University,Baton Rouge
1294,Covenant College,Lookout Mountain
551,Ohio Wesleyan University,Delaware
72,Dartmouth College,Hanover
1032,Randolph-Macon College,Ashland
372,Clarkson University,Potsdam
299,University of Wisconsin-Stevens Point,Stevens Point
107,The University of Alabama,Tuscaloosa
628,Barry University,Miami
540,Southeast Missouri State University,Cape Girardeau
798,Queens University of Charlotte,Charlotte
189,Old Dominion University,Norfolk
738,Augustana University,Sioux Falls
1557,Adler Graduate School,Minnetonka
1415,Maryville College,Maryville
242,Chapman University,Orange
1096,Southern Arkansas University,Magnolia
1309,Harris-Stowe State University,St. Louis
1441,Hannibal-LaGrange University,Hannibal
271,Florida Institute of Technology,Melbourne
185,California State University-Fullerton,Fullerton
126,Southern Methodist University,Dallas
462,Andrews University,Berrien Springs
960,New England College,Henniker
1206,Florida SouthWestern State College,Fort Myers
1525,Roseman University of Health Sciences,Henderson
194,Smith College,Northampton
113,Auburn University,Auburn
1198,Immaculata University,Immaculata
601,Maryland Institute College of Art,Baltimore
1118,South Texas College,McAllen
1693,Heritage Christian University,Florence
182,Worcester Polytechnic Institute,Worcester
552,St. Edward's University,Austin
1079,Mount Mercy University,Cedar Rapids
1292,Huston-Tillotson University,Austin
895,Central College,Pella
415,Hobart and William Smith Colleges,Geneva
954,The American College of Financial Services,King of Prussia
1484,Greensboro College,Greensboro
591,California State University-Monterey Bay,Seaside
1575,Chowan University,Murfreesboro
832,Moody Bible Institute,Chicago
1527,North Greenville University,Tigerville
650,The University of Tampa,Tampa
1422,Bethel University-Mishawaka,Mishawaka
1244,William James College,Newton
40,Boston University,Boston
1518,Indiana University East,Richmond
54,University of Rochester,Rochester
366,Rhode Island School of Design,Providence
1643,Williams Baptist University,Walnut Ridge
285,Sam Houston State University,Huntsville
-1,Antioch University Santa Barbara,Santa Barbara
1425,Holy Family University,Philadelphia
1521,Allen University,Columbia
1065,Central State University,Wilberforce
743,Hendrix College,Conway
1564,Central Christian College of the Bible,Moberly
1494,Amberton University,Garland
104,University of Cincinnati,Cincinnati
1445,National University of Health Sciences,Lombard
316,Trinity College,Hartford
212,Boise State University,Boise
1497,Calumet College of St. Joseph,Whiting
678,University of Wisconsin-River Falls,River Falls
745,Utica University,Utica
849,United States Coast Guard Academy,New London
865,New England Conservatory,Boston
789,Dominican University,River Forest
272,Washington and Lee University,Lexington
109,The University of Tennessee at Martin,Martin
430,Xavier University,Cincinnati
92,University of North Texas,Denton
938,Cameron University,Lawton
1698,Southwestern Christian University,Bethany
581,University of Portland,Portland
906,University of St. Francis,Joliet
923,Alliant International University,San Diego
1685,Oak Hills Christian College,Bemidji
166,The New School,New York City
1509,University of Maine at Machias,Machias
1655,Laguna College of Art and Design,Laguna Beach
1252,Colby-Sawyer College,New London
131,Stony Brook University,Stony Brook
802,Montana State University Billings,Billings
1649,Northern New Mexico College,Espanola
1448,Mitchell College,New London
1548,Thiel College,Greenville
1010,Daemen University,Amherst
1598,Appalachian Bible College,Mount Hope
502,Icahn School of Medicine at Mount Sinai,New York City
955,Ripon College,Ripon
1405,College of Central Florida,Ocala
1386,Goldey-Beacom College,Wilmington
1222,Kansas City Art Institute,Kansas City
210,Texas State University,San Marcos
1412,Edward Waters University,Jacksonville
1287,University of Arkansas at Pine Bluff,Pine Bluff
774,St. Ambrose University,Davenport
1293,Holy Names University,Oakland
18,Purdue University,West Lafayette
913,College of the Atlantic,Bar Harbor
1298,Rockford University,Rockford
984,Wheeling University,Wheeling
1524,Lincoln College,Lincoln
654,State University of New York College at Plattsburgh,Plattsburgh
135,University of North Carolina at Charlotte,Charlotte
1466,Saybrook University,Pasadena
360,Webster University,St. Louis
629,University of Redlands,Redlands
93,Louisiana State University,Baton Rouge
31,The University of Arizona,Tucson
78,University of California-Riverside,Riverside
1144,Caldwell University,Caldwell
724,Fisk University,Nashville
1616,Central Christian College of Kansas,McPherson
546,Christopher Newport University,Newport News
1600,Baruch College-CUNY,New York City
800,University of Findlay,Findlay
1443,Southern Virginia University,Buena Vista
471,Beloit College,Beloit
497,Southeastern Louisiana University,Hammond
556,Providence College,Providence
1544,Manhattan Christian College,Manhattan
817,Oregon Institute of Technology,Klamath Falls
203,University of Dayton,Dayton
1586,Mercy College of Health Sciences,Des Moines
1542,Bethany Lutheran College,Mankato
80,University of Houston,Houston
1719,Good Samaritan College of Nursing and Health Science,Cincinnati
753,University of Michigan-Flint,Flint
1381,Miles College,Fairfield
995,Presbyterian College,Clinton
1728,Richmont Graduate University,Chattanooga
1734,Rush University,Chicago
712,Knox College,Galesburg
1084,Alcorn State University,Lorman
1054,The College of Saint Rose,Albany
768,South University,Savannah
250,Loyola Marymount University,Los Angeles
689,Minnesota State University Moorhead,Moorhead
427,St. Cloud State University,St. Cloud
801,Alabama A&M University,Huntsville
1551,Brescia University,Owensboro
685,Colorado Technical University,Colorado Springs
77,University of Kentucky,Lexington
233,University of Massachusetts Lowell,Lowell
565,Elizabethtown College,Elizabethtown
45,The University of Utah,Salt Lake City
1492,University of Providence,Great Falls
718,Susquehanna University,Selinsgrove
1165,PennWest California,California
1328,Oklahoma Wesleyan University,Bartlesville
1414,Vaughn College of Aeronautics and Technology,Flushing
596,Canisius University,Buffalo
741,Eckerd College,Saint Petersburg
884,Point Loma Nazarene University,San Diego
784,Seminole State College of Florida,Sanford
1156,Western New Mexico University,Silver City
1572,Vermont College of Fine Arts,Montpelier
211,Vassar College,Poughkeepsie
171,The University of Maine,Orono
1290,Walsh College,Troy
1202,University of Maine at Augusta,Augusta
1214,Albertus Magnus College,New Haven
214,Bryn Mawr College,Bryn Mawr
311,Southern Illinois University Edwardsville,Edwardsville
820,Bellevue College,Bellevue
851,Eastern Oregon University,La Grande
1612,Peirce College,Philadelphia
177,Saint Louis University,St. Louis
79,University of Illinois Chicago,Chicago
614,Campbell University,Buies Creek
1427,Lane College,Jackson
94,Boston College,Chestnut Hill
1098,SUNY Maritime College,Throggs Neck
859,Gwynedd Mercy University,Gwynedd Valley
1241,Eastern Nazarene College,Quincy
1332,Milwaukee Institute of Art & Design,Milwaukee
412,Pratt Institute,Brooklyn
1444,Missouri Valley College,Marshall
508,Maharishi International University,Fairfield
1274,Chestnut Hill College,Philadelphia
1715,Trinity College of Nursing & Health Sciences,Rock Island
770,University of Lynchburg,Lynchburg
1266,Milligan University,Elizabethton
459,Claremont Graduate University,Claremont
1306,Nebraska Methodist College,Omaha
325,University of Wisconsin-Eau Claire,Eau Claire
951,Endicott College,Beverly
245,Thomas Jefferson University,Philadelphia
59,Iowa State University,Ames
949,Southern Nazarene University,Bethany
187,James Madison University,Harrisonburg
-1,Cabarrus College of Health Sciences,Concord
814,Bastyr University,Kenmore
387,California State University-Stanislaus,Turlock
1595,Massachusetts School of Law,Andover
1432,Mount Saint Mary's University,Los Angeles
1400,Landmark College,Putney
625,Saint Leo University,Saint Leo
1046,Cardinal Stritch University,Milwaukee
959,Morrisville State College,Morrisville
914,Coe College,Cedar Rapids
644,Concordia College,Moorhead
655,Manhattan College,Riverdale
1081,Coppin State University,Baltimore
259,Sonoma State University,Rohnert Park
1567,Dallas Christian College,Dallas
1043,University of St. Thomas-Houston,Houston
100,San Diego State University,San Diego
709,University of North Alabama,Florence
1465,Young Harris College,Young Harris
463,Emporia State University,Emporia
476,University of New England,Biddeford
368,Colorado College,Colorado Springs
1656,Davis College,Johnson City
821,Juniata College,Huntingdon
803,King's College,Wilkes-Barre
953,Saint Vincent College,Latrobe
647,University of Wisconsin-Platteville,Platteville
1225,Saint Francis University,Loretto
1324,Mount Vernon Nazarene University,Mount Vernon
1539,Everglades University,Boca Raton
1085,Alabama State University,Montgomery
1161,Rosemont College,Rosemont
499,Tennessee State University,Nashville
1025,New Mexico Highlands University,Las Vegas
4,Cornell University,Ithaca
277,Ferris State University,Big Rapids
1270,Saint Mary-of-the-Woods College,Saint Mary of the Woods
1208,Georgia Southwestern State University,Americus
17,Johns Hopkins University,Baltimore
1639,Kentucky Christian University,Grayson
838,University of La Verne,La Verne
1093,Cedar Crest College,Allentown
23,University of North Carolina at Chapel Hill,Chapel Hill
999,Ottawa University,Ottawa
282,Duquesne University,Pittsburgh
674,Morehouse School of Medicine,Atlanta
1714,Westfield State University,Westfield
1503,Bacone College,Muskogee
582,Alfred University,Alfred
1573,Florida College,Temple Terrace
506,Tuskegee University,Tuskegee
1029,Alaska Pacific University,Anchorage
388,The College of New Jersey,Ewing
561,Kean University,Union
